timestamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,force_x,force_y,force_z,torque_x,torque_y,torque_z
1705518379.7739575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17101562023162842,0.07462877035140991,-0.024428024888038635,0.2771144509315491,-6.850499153137207,-4.358846187591553
1705518379.7749782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18037831783294678,0.07262344658374786,-0.024303749203681946,0.23157259821891785,-6.885745525360107,-4.268877983093262
1705518379.7759175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1845381259918213,0.07349793612957001,-0.018837034702301025,0.20486733317375183,-6.9297380447387695,-4.1567254066467285
1705518379.7769575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1877390444278717,0.0744629055261612,-0.021453946828842163,0.15759432315826416,-6.986869812011719,-4.048799991607666
1705518379.7779424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18594282865524292,0.0761638730764389,-0.02492430806159973,0.11773642152547836,-7.043752670288086,-3.927812099456787
1705518379.7789037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18743056058883667,0.0751478374004364,-0.02847421169281006,0.08608029037714005,-7.069460391998291,-3.802995443344116
1705518379.7799122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19129003584384918,0.07070337235927582,-0.027431368827819824,0.03424403816461563,-7.0981764793396,-3.6590120792388916
1705518379.7809856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1948266178369522,0.0692748874425888,-0.03704378008842468,-0.02835928648710251,-7.138103485107422,-3.511547803878784
1705518379.7819102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19855262339115143,0.06664979457855225,-0.03493258357048035,-0.07446867227554321,-7.156892776489258,-3.356372594833374
1705518379.7829099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.202339768409729,0.06588071584701538,-0.039640724658966064,-0.11346954107284546,-7.172624588012695,-3.204896926879883
1705518379.7838688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20511581003665924,0.0668894499540329,-0.045653343200683594,-0.14477220177650452,-7.182497978210449,-3.0568668842315674
1705518379.7848856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21070243418216705,0.06991161406040192,-0.0543646514415741,-0.17233233153820038,-7.167626857757568,-2.8933701515197754
1705518379.7858841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21331320703029633,0.07267114520072937,-0.059839069843292236,-0.20570170879364014,-7.156675338745117,-2.717905282974243
1705518379.7868822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22028636932373047,0.07132220268249512,-0.07247883081436157,-0.2655431926250458,-7.1286211013793945,-2.5321831703186035
1705518379.7878845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22758732736110687,0.06933939456939697,-0.08528608083724976,-0.32637596130371094,-7.090980529785156,-2.3654913902282715
1705518379.7889645,-0.308024138212204,0.9916660189628601,0.7403295040130615,0.026481864973902702,0.6797305345535278,-0.021227648481726646,-0.7326763272285461,-0.2289423793554306,0.07132154703140259,-0.09658986330032349,-0.38957086205482483,-7.060535430908203,-2.207822799682617
1705518379.7898705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2261829823255539,0.07325124740600586,-0.10743552446365356,-0.453240305185318,-7.05003547668457,-2.0835068225860596
1705518379.79087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23056894540786743,0.0730322003364563,-0.11328989267349243,-0.5109421610832214,-6.997743606567383,-1.9861845970153809
1705518379.7918687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22782666981220245,0.07471928000450134,-0.12226969003677368,-0.5677098035812378,-6.960468292236328,-1.9095171689987183
1705518379.792873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22650398313999176,0.07547032833099365,-0.12703004479408264,-0.6383110284805298,-6.914152145385742,-1.846454381942749
1705518379.7938714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2297380417585373,0.07432892918586731,-0.13239803910255432,-0.7118101716041565,-6.8723602294921875,-1.8034355640411377
1705518379.7948604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23394833505153656,0.0732705295085907,-0.1400362253189087,-0.7830333709716797,-6.816011428833008,-1.7710130214691162
1705518379.7958646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23442552983760834,0.07347372174263,-0.1500597596168518,-0.8470550775527954,-6.785456657409668,-1.772553563117981
1705518379.796915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23720090091228485,0.07550565898418427,-0.15338224172592163,-0.9034518003463745,-6.748549461364746,-1.791717767715454
1705518379.7978563,-0.30741336941719055,0.9923081398010254,0.7401745915412903,0.030339226126670837,0.6790772080421448,-0.02178953029215336,-0.7331159114837646,-0.2399154007434845,0.07896396517753601,-0.16343292593955994,-0.9432004690170288,-6.706149101257324,-1.837026834487915
1705518379.7988267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24384965002536774,0.0793045312166214,-0.16829568147659302,-0.977250337600708,-6.651773929595947,-1.9060025215148926
1705518379.7998533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24197342991828918,0.07974213361740112,-0.1700064241886139,-1.0238537788391113,-6.626160621643066,-1.99217689037323
1705518379.8008597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447994351387024,0.0810944139957428,-0.17499440908432007,-1.0625979900360107,-6.577240467071533,-2.0884556770324707
