timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,force_x,force_y,force_z,torque_x,torque_y,torque_z
3.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11692610383033752,0.12743008136749268,-2.16593861579895,-0.6340500116348267,-1.6876394748687744,1.017296552658081
3.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11176715791225433,0.129686176776886,-2.168719530105591,-0.6358416676521301,-1.6558685302734375,1.0122358798980713
3.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11321163177490234,0.1280263066291809,-2.1711361408233643,-0.6271592974662781,-1.6608304977416992,0.9979397058486938
3.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11191344261169434,0.1272105872631073,-2.1714119911193848,-0.6282944083213806,-1.6589162349700928,1.001848578453064
3.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11390639841556549,0.12443947792053223,-2.173309326171875,-0.6225981116294861,-1.6631503105163574,1.007978916168213
3.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11347852647304535,0.12747427821159363,-2.1759791374206543,-0.6023299694061279,-1.6678695678710938,1.014156460762024
3.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11377337574958801,0.12587037682533264,-2.1730942726135254,-0.6001861095428467,-1.6837773323059082,1.030126929283142
3.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11263170838356018,0.1270199418067932,-2.1712753772735596,-0.589783787727356,-1.6844758987426758,1.0318297147750854
3.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11371839046478271,0.126909077167511,-2.1681761741638184,-0.6034702062606812,-1.6828161478042603,1.0283174514770508
3.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1126251369714737,0.13088300824165344,-2.166055679321289,-0.6052588820457458,-1.673588752746582,1.0414972305297852
3.771,1.7629570960998535,0.9772011637687683,1.6701375246047974,-0.006366110406816006,0.607313871383667,4.34160465374589e-05,-0.794436514377594,0.11130782961845398,0.12746360898017883,-2.1643693447113037,-0.624823272228241,-1.679474949836731,1.024017333984375
3.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11211729049682617,0.12547913193702698,-2.1615054607391357,-0.6399450302124023,-1.6831519603729248,1.0120515823364258
3.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11068069934844971,0.12793195247650146,-2.163273811340332,-0.6382049322128296,-1.6795899868011475,1.0234373807907104
3.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10973256826400757,0.1281941533088684,-2.163159132003784,-0.6252931356430054,-1.6843981742858887,1.0277432203292847
3.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11391280591487885,0.12549668550491333,-2.169295310974121,-0.6288120746612549,-1.6894659996032715,1.0117303133010864
3.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11563599109649658,0.12788823246955872,-2.1741867065429688,-0.6260114908218384,-1.6840091943740845,1.0338540077209473
3.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11430689692497253,0.13043779134750366,-2.174492597579956,-0.6164368987083435,-1.6715710163116455,1.03706693649292
3.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11517272889614105,0.1268581748008728,-2.170161247253418,-0.627583384513855,-1.6694653034210205,1.0225502252578735
3.78,1.7628239393234253,0.9771402478218079,1.6701710224151611,-0.006421708036214113,0.6069522500038147,-6.0565773310372606e-05,-0.7947123646736145,0.11430180072784424,0.12798845767974854,-2.1756465435028076,-0.6269493103027344,-1.6587610244750977,1.0147075653076172
3.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11277219653129578,0.13192135095596313,-2.173630714416504,-0.616011381149292,-1.6648986339569092,1.0089468955993652
3.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11342746019363403,0.12962692975997925,-2.1685986518859863,-0.6052401065826416,-1.6707947254180908,1.0055427551269531
3.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1164557933807373,0.12984216213226318,-2.171945095062256,-0.597691535949707,-1.6799824237823486,1.0048667192459106
3.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1168304830789566,0.1303078532218933,-2.175447940826416,-0.5948300957679749,-1.6855417490005493,1.005820631980896
3.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11945582926273346,0.13147816061973572,-2.1762537956237793,-0.5886372923851013,-1.6978583335876465,1.010650396347046
3.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11796572804450989,0.12763020396232605,-2.176631212234497,-0.5942776203155518,-1.6846591234207153,1.0129315853118896
3.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11660507321357727,0.1296629011631012,-2.181102752685547,-0.5995876789093018,-1.6869699954986572,1.010920524597168
3.788,1.7629579305648804,0.977180540561676,1.6701384782791138,-0.006309539079666138,0.6073507070541382,7.921236829133704e-05,-0.7944087982177734,0.11759649217128754,0.12875241041183472,-2.1836977005004883,-0.6052118539810181,-1.6922364234924316,1.0054926872253418
3.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11609743535518646,0.13009130954742432,-2.1842191219329834,-0.6001347303390503,-1.68757963180542,1.0135407447814941
3.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11499057710170746,0.12997013330459595,-2.177595853805542,-0.596275806427002,-1.681299090385437,1.0025250911712646
