timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,force_x,force_y,force_z,torque_x,torque_y,torque_z
0.000361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025191746652126312,-0.028285309672355652,-0.0868687778711319,-0.036726780235767365,-0.051225773990154266,-0.003183819353580475
0.001339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024254722520709038,-0.029343148693442345,-0.0902513787150383,-0.04574573040008545,-0.05070272833108902,-0.005738094449043274
0.002336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021134506911039352,-0.031126949936151505,-0.09333953261375427,-0.06670433282852173,-0.04316233843564987,-0.005878373980522156
0.00343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022018861025571823,-0.032679229974746704,-0.09478019177913666,-0.08110394328832626,-0.05100779980421066,-0.012332752346992493
0.004531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021033694967627525,-0.032082561403512955,-0.08797682821750641,-0.07333805412054062,-0.057952508330345154,-0.01885797083377838
0.00544,1.3393608331680298,1.0982927083969116,1.3933016061782837,-0.009717882610857487,-0.034391723573207855,0.003937943838536739,-0.9993534088134766,0.021648863330483437,-0.03061245009303093,-0.09064634889364243,-0.061861611902713776,-0.04833532124757767,-0.01926010102033615
0.006338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021724671125411987,-0.029974963515996933,-0.08999969810247421,-0.05190807580947876,-0.04806769639253616,-0.02134060114622116
0.008151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02313387021422386,-0.030434824526309967,-0.08797142654657364,-0.05523316562175751,-0.05109507590532303,-0.01872127503156662
0.008389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207301527261734,-0.025360677391290665,-0.08498760312795639,-0.02716522291302681,-0.043374352157115936,-0.018658846616744995
0.013247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017337411642074585,-0.022851325571537018,-0.08618991076946259,-0.015409010462462902,-0.028005652129650116,-0.022083375602960587
0.013472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020126231014728546,-0.023808889091014862,-0.08266277611255646,-0.03491850942373276,-0.05138465762138367,-0.011429540812969208
0.01359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019739164039492607,-0.027493810281157494,-0.08152862638235092,-0.04351513087749481,-0.043365560472011566,-0.021706141531467438
0.013692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021621108055114746,-0.03019893914461136,-0.08873780816793442,-0.057742342352867126,-0.03770555555820465,-0.017678774893283844
0.013843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02537381276488304,-0.03377954661846161,-0.09616383910179138,-0.07274650037288666,-0.04173442721366882,-0.014580942690372467
0.014548,1.3393492698669434,1.098312497138977,1.393312692642212,-0.009703918360173702,-0.03439083695411682,0.0040229265578091145,-0.9993533492088318,0.029621761292219162,-0.03548996523022652,-0.10067982971668243,-0.0772835910320282,-0.049836933612823486,-0.0077931806445121765
0.016209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272771418094635,-0.03658591955900192,-0.10014551877975464,-0.07069309800863266,-0.025504395365715027,-0.011173874139785767
0.01653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026251938194036484,-0.03554226830601692,-0.10433125495910645,-0.06607260555028915,-0.017720848321914673,-0.006504863500595093
0.017396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02457086369395256,-0.0330006368458271,-0.10110711306333542,-0.044773563742637634,-0.017786726355552673,-0.0007341504096984863
0.01832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259199135005474,-0.031035616993904114,-0.10025863349437714,-0.036795929074287415,-0.010478734970092773,-0.004206515848636627
0.019339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020846407860517502,-0.030197910964488983,-0.09428401291370392,-0.03799767047166824,-0.010892145335674286,-0.006430231034755707
0.020343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01958039030432701,-0.029331862926483154,-0.09678083658218384,-0.03676251322031021,-0.02448461204767227,-0.0012662336230278015
0.021364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01987014152109623,-0.026317885145545006,-0.09073039889335632,-0.023399733006954193,-0.024948224425315857,0.005809500813484192
0.022355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016889845952391624,-0.026780741289258003,-0.09310519695281982,-0.03513883426785469,-0.015555255115032196,-0.00795457512140274
0.023357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01618470996618271,-0.0268170814961195,-0.09457702934741974,-0.04121420159935951,-0.024422869086265564,-0.01114722341299057
0.02436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015012012794613838,-0.026152094826102257,-0.09639608860015869,-0.03819004446268082,-0.031021669507026672,-0.0010109245777130127
0.02536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016628803685307503,-0.026304982602596283,-0.09227471053600311,-0.04244641214609146,-0.04181510955095291,-0.01048368215560913
0.026341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01718764379620552,-0.027042206376791,-0.09194662421941757,-0.056225597858428955,-0.050614647567272186,-0.014224916696548462
0.027312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024019557982683182,-0.024391036480665207,-0.08689410239458084,-0.045713189989328384,-0.08391615003347397,-0.003164418041706085
