timestamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,force_x,force_y,force_z,torque_x,torque_y,torque_z
0.001054,1.33923017978668,1.09825122356415,1.39275729656219,-0.00502985902130604,-0.0320397615432739,0.00566760404035449,-0.999457895755768,0.0171460155397654,-0.00521846488118172,-0.0340622663497925,-0.0384970121085644,-0.138001471757889,0.0160507317632437
0.00208,0,0,0,0,0,0,0,0.0162759944796562,-0.00723855243995786,-0.0253821425139904,-0.0499263666570187,-0.136136576533318,0.0180624686181545
0.003073,0,0,0,0,0,0,0,0.0184325091540813,-0.00574810151010752,-0.0231347233057022,-0.0449061430990696,-0.143122375011444,0.0186767913401127
0.004084,0,0,0,0,0,0,0,0.0143144279718399,-0.00636213552206755,-0.0221258290112019,-0.0378671549260616,-0.124854534864426,0.0159855410456657
0.005085,0,0,0,0,0,0,0,0.0155366770923138,-0.00285701081156731,-0.0199819654226303,-0.0376450456678867,-0.115971326828003,0.0199567563831806
0.006081,0,0,0,0,0,0,0,0.0139541616663337,0.00102366087958217,-0.0216307267546654,-0.0206899922341108,-0.0972387194633484,0.00372730568051338
0.007081,0,0,0,0,0,0,0,0.0166553296148777,0.00246459851041436,-0.026909239590168,-0.00400027632713318,-0.102474182844162,0.000852741301059723
0.008083,0,0,0,0,0,0,0,0.0128722470253706,-0.00204421021044254,-0.0260317735373974,-0.0317347198724747,-0.08601313829422,0.00304899178445339
0.01369,1.3392139673233,1.09827172756195,1.39277946949005,-0.00515377195551991,-0.0319438092410564,0.00535936886444688,-0.999462008476257,0.016762487590313,-0.00300921080633998,-0.0275982059538364,-0.0503710173070431,-0.0983111560344696,0.00678603164851666
0.01386,0,0,0,0,0,0,0,0.0143811013549566,-0.00292529538273811,-0.0255961436778307,-0.0452011600136757,-0.0897669494152069,0.00459247455000877
0.01397,0,0,0,0,0,0,0,0.0172064304351807,-0.00625939201563597,-0.0273169092833996,-0.0596515983343124,-0.108637481927872,0.0241084508597851
0.01411,0,0,0,0,0,0,0,0.0179261844605207,-0.0077663310803473,-0.0270298235118389,-0.066810667514801,-0.11476919054985,0.0245189219713211
0.014208,0,0,0,0,0,0,0,0.0200790539383888,-0.00553966779261828,-0.0286393463611603,-0.0584531687200069,-0.121454015374184,0.0111177433282137
0.014307,0,0,0,0,0,0,0,0.022063372656703,-0.00494385324418545,-0.0259024854749441,-0.0483404099941254,-0.124992832541466,0.0133987683802843
0.015103,0,0,0,0,0,0,0,0.0244808588176966,-0.00933065358549356,-0.0275516100227833,-0.0611817948520184,-0.140218257904053,0.0120145101100206
0.016043,0,0,0,0,0,0,0,0.020512767136097,-0.0102760111913085,-0.0268635228276253,-0.0661587938666344,-0.12338875234127,0.00397726148366928
0.017071,1.33921027183533,1.09826970100403,1.39277017116547,-0.00508822221308947,-0.0320060476660728,0.00562572246417403,-0.999458968639374,0.0193472504615784,-0.00862555392086506,-0.024925971403718,-0.0711165443062782,-0.120698168873787,0.00537266582250595
0.018067,0,0,0,0,0,0,0,0.0212062671780586,-0.00966483447700739,-0.0186993964016438,-0.0685266628861427,-0.130351126194,0.017268031835556
0.019062,0,0,0,0,0,0,0,0.0184217058122158,-0.00840117409825325,-0.0200810544192791,-0.0656756386160851,-0.131603240966797,0.00831837207078934
0.021826,0,0,0,0,0,0,0,0.0176324415951967,-0.0029114717617631,-0.0172912534326315,-0.0435327254235745,-0.138028383255005,0.0123202279210091
0.022074,0,0,0,0,0,0,0,0.0191150419414043,-0.00135938916355371,-0.0124742463231087,-0.0481291450560093,-0.145653381943703,0.0113637577742338
