timestamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,force_x,force_y,force_z,torque_x,torque_y,torque_z
0.000258,0,0,0,0,0,0,0,0.0578549057245255,-0.0270001441240311,-0.197080045938492,-0.0353825464844704,-0.443797111511231,-0.00541011989116669
0.001257,0,0,0,0,0,0,0,0.0561424121260643,-0.0275860764086246,-0.195657402276993,-0.0498409308493137,-0.440618485212326,0.00014244019985199
0.002283,0,0,0,0,0,0,0,0.0551732070744038,-0.0285291206091642,-0.19470351934433,-0.0626431480050087,-0.442169100046158,0.0087960809469223
0.003269,0,0,0,0,0,0,0,0.0579537823796272,-0.027539350092411,-0.194975197315216,-0.0662125498056412,-0.445311903953552,0.0148699879646301
0.004241,0,0,0,0,0,0,0,0.0587286911904812,-0.0329405292868614,-0.191275343298912,-0.0904349014163017,-0.444713175296783,0.0207076370716095
0.00526,0,0,0,0,0,0,0,0.0559729002416134,-0.0322648957371712,-0.196216702461243,-0.0849807113409042,-0.438685715198517,0.0233638882637024
0.006245,0,0,0,0,0,0,0,0.0569963790476322,-0.0321628153324127,-0.199314013123512,-0.0842513591051102,-0.431794106960297,0.0168315172195435
0.010608,1.33922934532166,1.09814119338989,1.3928347826004,-0.00619138590991497,-0.0323586314916611,0.00626490218564868,-0.999437570571899,0.0552719198167324,-0.0322637334465981,-0.198260203003883,-0.0866284668445587,-0.42939555644989,0.0175272524356842
0.010919,0,0,0,0,0,0,0,0.055642731487751,-0.0308781042695045,-0.193761229515076,-0.0844170674681664,-0.431894898414612,0.00434160232543945
0.011119,0,0,0,0,0,0,0,0.061464224010706,-0.0305600352585316,-0.198945015668869,-0.0825093686580658,-0.455823659896851,-0.00500078499317169
0.011314,0,0,0,0,0,0,0,0.0648368299007416,-0.0306162908673286,-0.201658934354782,-0.0860157459974289,-0.469399660825729,-0.000222891569137573
0.011607,0,0,0,0,0,0,0,0.0636935606598854,-0.0306947268545628,-0.198825001716614,-0.0896188542246819,-0.475113868713379,0.00015769898891449
0.01223,0,0,0,0,0,0,0,0.0636866241693497,-0.0304519385099411,-0.19616511464119,-0.0829643309116364,-0.472751319408417,-0.0101466625928879
0.01327,0,0,0,0,0,0,0,0.060372605919838,-0.0302503295242786,-0.19804210960865,-0.0847043618559837,-0.458720922470093,-0.00867217779159546
0.014263,0,0,0,0,0,0,0,0.0582108572125435,-0.0283520556986332,-0.197307497262955,-0.0735227465629578,-0.46347188949585,0.000106960535049438
0.01551,1.33929300308228,1.09812951087952,1.39286279678345,-0.00628074537962675,-0.0330523550510406,0.00563655095174909,-0.999418079853058,0.0572597943246365,-0.0294037740677595,-0.196587637066841,-0.0772026479244232,-0.458299100399017,-0.0029444694519043
0.016206,0,0,0,0,0,0,0,0.0581591427326202,-0.0286766774952412,-0.195724129676819,-0.0672718062996864,-0.467408567667007,0.00206036865711212
0.01727,0,0,0,0,0,0,0,0.0582737326622009,-0.0276762545108795,-0.202106535434723,-0.0705756917595863,-0.470299124717712,0.00488646328449249
0.018235,0,0,0,0,0,0,0,0.0581441894173622,-0.0279542505741119,-0.206503868103027,-0.0583240501582623,-0.465281426906586,0.0247685462236404
0.019284,0,0,0,0,0,0,0,0.0574360936880112,-0.0286992564797401,-0.203895002603531,-0.0655542239546776,-0.443550556898117,0.026337057352066
0.022292,0,0,0,0,0,0,0,0.0578201040625572,-0.0277085769921541,-0.198097497224808,-0.0720716565847397,-0.442756116390228,0.0180249512195587
0.022425,0,0,0,0,0,0,0,0.0560639202594757,-0.0246652718633413,-0.198002442717552,-0.0555484220385551,-0.419492125511169,0.00410009920597076
0.022528,0,0,0,0,0,0,0,0.0591501221060753,-0.0251477155834436,-0.19392928481102,-0.0564384087920189,-0.422664046287537,0.00202713906764984
0.023188,0,0,0,0,0,0,0,0.0613389350473881,-0.0305961258709431,-0.185769528150558,-0.075521893799305,-0.437862873077393,-0.0124248564243317
0.02423,1.33927857875824,1.09815502166748,1.39279198646545,-0.00616139639168978,-0.0327601619064808,0.00575512088835239,-0.999427735805512,0.0594862662255764,-0.02871448174119,-0.185362428426743,-0.0644055530428886,-0.444335728883743,-0.0210332721471786
